funcPK,equipePK,dataPK,cargoPK,salario,quantidadeLancamentos
147,2,5,64,1299.95,1
124,2,5,329,6752.31,1
175,1,5,328,2110.43,1
171,1,5,245,6568.92,1
148,2,5,65,3670.49,1
5,2,5,112,1855.55,1
128,1,5,341,5130.87,1
82,2,5,43,1321.26,1
28,1,5,253,1328.35,1
46,1,5,390,8233.47,1
91,2,5,233,9109.56,1
176,2,5,241,1671.24,1
172,1,5,351,11848.57,1
155,1,5,121,1668.81,1
19,2,5,223,1481.88,1
94,1,5,394,2087.58,1
26,2,5,350,7635.38,1
55,2,5,313,2679.61,1
29,1,5,62,3440.37,1
181,1,5,249,9235.62,1
118,1,5,169,1451.11,1
174,1,5,183,12278.42,1
141,1,5,63,8469.03,1
188,1,5,386,12495.85,1
112,2,5,419,3600.8,1
34,1,5,16,1361.02,1
69,1,5,68,3547.08,1
62,1,5,422,4414.81,1
190,2,5,254,3403.21,1
17,2,5,2,4301.54,1
10,2,5,395,4621.0,1
199,2,5,116,3919.67,1
76,1,5,383,4063.07,1
106,2,5,234,8009.98,1
179,1,5,12,17549.69,1
111,2,5,396,8398.7,1
43,1,5,74,8824.78,1
173,2,5,53,5483.11,1
183,2,5,240,19974.95,1
53,2,5,229,3029.63,1
42,1,5,177,10647.58,1
116,2,5,343,4882.98,1
30,2,5,408,14970.97,1
66,1,5,115,2542.72,1
35,2,5,412,1494.53,1
195,2,5,306,11969.68,1
104,2,5,36,11820.52,1
73,1,5,163,1723.42,1
48,1,5,270,12493.45,1
33,1,5,27,7641.58,1
147,2,36,64,1299.95,1
124,2,36,329,6752.31,1
175,1,36,328,2110.43,1
171,1,36,245,6568.92,1
148,2,36,65,3670.49,1
5,2,36,112,1855.55,1
128,1,36,341,5130.87,1
82,2,36,43,1321.26,1
28,1,36,253,1328.35,1
46,1,36,390,8233.47,1
91,2,36,233,9109.56,1
176,2,36,241,1671.24,1
172,1,36,351,11848.57,1
155,1,36,121,1668.81,1
19,2,36,223,1481.88,1
94,1,36,394,2087.58,1
26,2,36,350,7635.38,1
55,2,36,313,2679.61,1
29,1,36,62,3440.37,1
181,1,36,249,9235.62,1
118,1,36,169,1451.11,1
174,1,36,183,12278.42,1
141,1,36,63,8469.03,1
188,1,36,386,12495.85,1
112,2,36,419,3600.8,1
34,1,36,16,1361.02,1
69,1,36,68,3547.08,1
62,1,36,422,4414.81,1
190,2,36,254,3403.21,1
17,2,36,2,4301.54,1
10,2,36,395,4621.0,1
199,2,36,116,3919.67,1
76,1,36,383,4063.07,1
106,2,36,234,8009.98,1
179,1,36,12,17549.69,1
111,2,36,396,8398.7,1
43,1,36,74,8824.78,1
173,2,36,53,5483.11,1
183,2,36,240,19974.95,1
53,2,36,229,3029.63,1
42,1,36,177,10647.58,1
116,2,36,343,4882.98,1
30,2,36,408,14970.97,1
66,1,36,115,2542.72,1
35,2,36,412,1494.53,1
195,2,36,306,11969.68,1
104,2,36,36,11820.52,1
73,1,36,163,1723.42,1
48,1,36,270,12493.45,1
33,1,36,27,7641.58,1
147,2,65,64,1299.95,1
124,2,65,329,6752.31,1
175,1,65,328,2110.43,1
171,1,65,245,6568.92,1
148,2,65,65,3670.49,1
5,2,65,112,1855.55,1
128,1,65,341,5130.87,1
82,2,65,43,1321.26,1
28,1,65,253,1328.35,1
46,1,65,390,8233.47,1
91,2,65,233,9109.56,1
176,2,65,241,1671.24,1
172,1,65,351,11848.57,1
155,1,65,121,1668.81,1
19,2,65,223,1481.88,1
94,1,65,394,2087.58,1
26,2,65,350,7635.38,1
55,2,65,313,2679.61,1
29,1,65,62,3440.37,1
181,1,65,249,9235.62,1
118,1,65,169,1451.11,1
174,1,65,183,12278.42,1
141,1,65,63,8469.03,1
188,1,65,386,12495.85,1
112,2,65,419,3600.8,1
34,1,65,16,1361.02,1
69,1,65,68,3547.08,1
62,1,65,422,4414.81,1
190,2,65,254,3403.21,1
17,2,65,2,4301.54,1
10,2,65,395,4621.0,1
199,2,65,116,3919.67,1
76,1,65,383,4063.07,1
106,2,65,234,8009.98,1
179,1,65,12,17549.69,1
111,2,65,396,8398.7,1
43,1,65,74,8824.78,1
173,2,65,53,5483.11,1
183,2,65,240,19974.95,1
53,2,65,229,3029.63,1
42,1,65,177,10647.58,1
116,2,65,343,4882.98,1
30,2,65,408,14970.97,1
66,1,65,115,2542.72,1
35,2,65,412,1494.53,1
195,2,65,306,11969.68,1
104,2,65,36,11820.52,1
73,1,65,163,1723.42,1
48,1,65,270,12493.45,1
33,1,65,27,7641.58,1
147,2,96,64,1299.95,1
124,2,96,329,6752.31,1
175,1,96,328,2110.43,1
171,1,96,245,6568.92,1
148,2,96,65,3670.49,1
5,2,96,112,1855.55,1
128,1,96,341,5130.87,1
82,2,96,43,1321.26,1
28,1,96,253,1328.35,1
46,1,96,390,8233.47,1
91,2,96,233,9109.56,1
176,2,96,241,1671.24,1
172,1,96,351,11848.57,1
155,1,96,121,1668.81,1
19,2,96,223,1481.88,1
94,1,96,394,2087.58,1
26,2,96,350,7635.38,1
55,2,96,313,2679.61,1
29,1,96,62,3440.37,1
181,1,96,249,9235.62,1
118,1,96,169,1451.11,1
174,1,96,183,12278.42,1
141,1,96,63,8469.03,1
188,1,96,386,12495.85,1
112,2,96,419,3600.8,1
34,1,96,16,1361.02,1
69,1,96,68,3547.08,1
62,1,96,422,4414.81,1
190,2,96,254,3403.21,1
17,2,96,2,4301.54,1
10,2,96,395,4621.0,1
199,2,96,116,3919.67,1
76,1,96,383,4063.07,1
106,2,96,234,8009.98,1
179,1,96,12,17549.69,1
111,2,96,396,8398.7,1
43,1,96,74,8824.78,1
173,2,96,53,5483.11,1
183,2,96,240,19974.95,1
53,2,96,229,3029.63,1
42,1,96,177,10647.58,1
116,2,96,343,4882.98,1
30,2,96,408,14970.97,1
66,1,96,115,2542.72,1
35,2,96,412,1494.53,1
195,2,96,306,11969.68,1
104,2,96,36,11820.52,1
73,1,96,163,1723.42,1
48,1,96,270,12493.45,1
33,1,96,27,7641.58,1
147,2,126,64,1299.95,1
124,2,126,329,6752.31,1
175,1,126,328,2110.43,1
171,1,126,245,6568.92,1
148,2,126,65,3670.49,1
5,2,126,112,1855.55,1
128,1,126,341,5130.87,1
82,2,126,43,1321.26,1
28,1,126,253,1328.35,1
46,1,126,390,8233.47,1
91,2,126,233,9109.56,1
176,2,126,241,1671.24,1
172,1,126,351,11848.57,1
155,1,126,121,1668.81,1
19,2,126,223,1481.88,1
94,1,126,394,2087.58,1
26,2,126,350,7635.38,1
55,2,126,313,2679.61,1
29,1,126,62,3440.37,1
181,1,126,249,9235.62,1
118,1,126,169,1451.11,1
174,1,126,183,12278.42,1
141,1,126,63,8469.03,1
188,1,126,386,12495.85,1
112,2,126,419,3600.8,1
34,1,126,16,1361.02,1
69,1,126,68,3547.08,1
62,1,126,422,4414.81,1
190,2,126,254,3403.21,1
17,2,126,2,4301.54,1
10,2,126,395,4621.0,1
199,2,126,116,3919.67,1
76,1,126,383,4063.07,1
106,2,126,234,8009.98,1
179,1,126,12,17549.69,1
111,2,126,396,8398.7,1
43,1,126,74,8824.78,1
173,2,126,53,5483.11,1
183,2,126,240,19974.95,1
53,2,126,229,3029.63,1
42,1,126,177,10647.58,1
116,2,126,343,4882.98,1
30,2,126,408,14970.97,1
66,1,126,115,2542.72,1
35,2,126,412,1494.53,1
195,2,126,306,11969.68,1
104,2,126,36,11820.52,1
73,1,126,163,1723.42,1
48,1,126,270,12493.45,1
33,1,126,27,7641.58,1
147,2,157,64,1299.95,1
124,2,157,329,6752.31,1
175,1,157,328,2110.43,1
171,1,157,245,6568.92,1
148,2,157,65,3670.49,1
5,2,157,112,1855.55,1
128,1,157,341,5130.87,1
82,2,157,43,1321.26,1
28,1,157,253,1328.35,1
46,1,157,390,8233.47,1
91,2,157,233,9109.56,1
176,2,157,241,1671.24,1
172,1,157,351,11848.57,1
155,1,157,121,1668.81,1
19,2,157,223,1481.88,1
94,1,157,394,2087.58,1
26,2,157,350,7635.38,1
55,2,157,313,2679.61,1
29,1,157,62,3440.37,1
181,1,157,249,9235.62,1
118,1,157,169,1451.11,1
174,1,157,183,12278.42,1
141,1,157,63,8469.03,1
188,1,157,386,12495.85,1
112,2,157,419,3600.8,1
34,1,157,16,1361.02,1
69,1,157,68,3547.08,1
62,1,157,422,4414.81,1
190,2,157,254,3403.21,1
17,2,157,2,4301.54,1
10,2,157,395,4621.0,1
199,2,157,116,3919.67,1
76,1,157,383,4063.07,1
106,2,157,234,8009.98,1
179,1,157,12,17549.69,1
111,2,157,396,8398.7,1
43,1,157,74,8824.78,1
173,2,157,53,5483.11,1
183,2,157,240,19974.95,1
53,2,157,229,3029.63,1
42,1,157,177,10647.58,1
116,2,157,343,4882.98,1
30,2,157,408,14970.97,1
66,1,157,115,2542.72,1
35,2,157,412,1494.53,1
195,2,157,306,11969.68,1
104,2,157,36,11820.52,1
73,1,157,163,1723.42,1
48,1,157,270,12493.45,1
33,1,157,27,7641.58,1
147,2,187,64,1299.95,1
124,2,187,329,6752.31,1
175,1,187,328,2110.43,1
171,1,187,245,6568.92,1
148,2,187,65,3670.49,1
5,2,187,112,1855.55,1
128,1,187,341,5130.87,1
82,2,187,43,1321.26,1
28,1,187,253,1328.35,1
46,1,187,390,8233.47,1
91,2,187,233,9109.56,1
176,2,187,241,1671.24,1
172,1,187,351,11848.57,1
155,1,187,121,1668.81,1
19,2,187,223,1481.88,1
94,1,187,394,2087.58,1
26,2,187,350,7635.38,1
55,2,187,313,2679.61,1
29,1,187,62,3440.37,1
181,1,187,249,9235.62,1
118,1,187,169,1451.11,1
174,1,187,183,12278.42,1
141,1,187,63,8469.03,1
188,1,187,386,12495.85,1
112,2,187,419,3600.8,1
34,1,187,16,1361.02,1
69,1,187,68,3547.08,1
62,1,187,422,4414.81,1
190,2,187,254,3403.21,1
17,2,187,2,4301.54,1
10,2,187,395,4621.0,1
199,2,187,116,3919.67,1
76,1,187,383,4063.07,1
106,2,187,234,8009.98,1
179,1,187,12,17549.69,1
111,2,187,396,8398.7,1
43,1,187,74,8824.78,1
173,2,187,53,5483.11,1
183,2,187,240,19974.95,1
53,2,187,229,3029.63,1
42,1,187,177,10647.58,1
116,2,187,343,4882.98,1
30,2,187,408,14970.97,1
66,1,187,115,2542.72,1
35,2,187,412,1494.53,1
195,2,187,306,11969.68,1
104,2,187,36,11820.52,1
73,1,187,163,1723.42,1
48,1,187,270,12493.45,1
33,1,187,27,7641.58,1
147,2,218,64,1299.95,1
124,2,218,329,6752.31,1
175,1,218,328,2110.43,1
171,1,218,245,6568.92,1
148,2,218,65,3670.49,1
5,2,218,112,1855.55,1
128,1,218,341,5130.87,1
82,2,218,43,1321.26,1
28,1,218,253,1328.35,1
